"","transit","driving","walking","bicycling"
"Sant Hilari Sacalm",NA,7506,91826,29238
"Sant Hipolit de Voltrega",NA,6416,61609,21783
"Sant Iscle de Vallalta",NA,9194,114118,37349
"Sant Jaume d'Enveja",NA,12875,208922,57424
"Sant Jaume de Frontanya",NA,4620,27541,9598
"Sant Jaume de Llierca",NA,8441,71429,22883
"Sant Jaume dels Domenys",NA,8972,130508,36373
"Sant Joan de les Abadesses",NA,6520,45368,14586
"Sant Joan de Mollet",NA,9560,102748,31639
"Sant Joan de Vilatorrada",NA,5642,78489,21082
"Sant Joan Despi",NA,7923,119933,31282
"Sant Joan les Fonts",NA,7831,64138,20548
"Sant Jordi Desvalls",NA,9650,101170,31480
"Sant Julia de Cerdanyola",NA,3903,17424,6682
"Sant Julia de Ramis",NA,9340,97602,30386
"Sant Julia de Vilatorta",NA,6412,72005,22995
"Sant Julia del Llor i Bonmati",NA,8683,89180,30142
"Sant Just Desvern",NA,7849.125,119872,31089
"Sant Llorenc d'Hortons",NA,7733,108541,29198
"Sant Llorenc de la Muga",NA,10607,101299,31425
"Sant Llorenc de Morunys",NA,6403,61561,16599
"Sant Llorenc Savall",NA,7647,91121,23938
"Sant Marti d'Albars",NA,5230,51850,16650
"Sant Marti de Centelles",NA,7028,84282,27060
"Sant Marti de Llemena",NA,9212,87830,29520
"Sant Marti de Riucorb",NA,8545,119733,33428
"Sant Marti de Tous",NA,7675,108590,28515
"Sant Marti Sarroca",NA,8276,122252,33577
"Sant Marti Sesgueioles",NA,6876,92806,26415
"Sant Marti Vell",NA,9624,102095,31820
"Sant Mateu de Bages",NA,7221,78811,21747
"Sant Miquel de Campmajor",NA,9549,79854,26459
"Sant Miquel de Fluvia",NA,10022,100620,31091
"Sant Mori",NA,9851,101069,31501
"Sant Pau de Seguries",NA,7036,51119,15854
"Sant Pere de Ribes",NA,8613,131522,38627
"Sant Pere de Riudebitlles",NA,7368,111350.75,30478
"Sant Pere de Torello",NA,6832,65746,22247
"Sant Pere de Vilamajor",NA,9414.25,102641,33427
"Sant Pere Pescador",NA,10381.5,106138,32070
"Sant Pere Sallavinera",NA,6672.25,84913,24193
"Sant Pol de Mar",NA,8796,118868,38788
"Sant Quinti de Mediona",NA,7694,112883,30417
"Sant Quirze de Besora",NA,6669,54816,19405
"Sant Quirze del Valles",NA,6818,105476,28592
"Sant Quirze Safaja",NA,7493.75,86799,24958
"Sant Ramon",NA,6970,95168,26216
"Sant Sadurni d'Anoia",NA,7927,110186,30545
"Sant Sadurni d'Osormort",NA,7198,78764,25334
"Sant Salvador de Guardiola",NA,6002,84109,22129
"Sant Vicenc de Castellet",NA,6106,83738,22320
"Sant Vicenc de Montalt",NA,8767,120497,38649
"Sant Vicenc de Torello",NA,7078.125,64053,21677
"Sant Vicenc dels Horts",NA,7745.875,117024,30257
"Santa Barbara",NA,NA,NA,NA
"Santa Cecilia de Voltrega",NA,6316,61844,21940
"Santa Coloma de Cervello",NA,7923,118459,30807
"Santa Coloma de Farners",NA,7929,97637,32357
"Santa Coloma de Gramenet",NA,7563,113368,32250
"Santa Coloma de Queralt",NA,8105,111881,30630
"Santa Cristina d'Aro",NA,9440,118831,38374
"Santa Eugenia de Berga",NA,6714,70926,22830
"Santa Eulalia de Riuprimer",NA,6633,67509,21033
"Santa Eulalia de Roncana",NA,7879,98734,29324
"Santa Fe del Penedes",NA,7837,116874,32449
"Santa Llogaia d'Alguema",NA,9790.875,96515,29715
"Santa Margarida de Montbui",NA,6884,102130,27147
"Santa Margarida i els Monjos",NA,8325,124319,34816
"Santa Maria d'Olo",NA,5970,70780,20160
"Santa Maria de Besora",NA,7100,54722,17657
"Santa Maria de Martorelles",NA,7963,108849,31705
"Santa Maria de Merles",NA,4983,53590,14683
"Santa Maria de Miralles",NA,7717,110845,29437
"Santa Maria de Palautordera",NA,8800,101250,33256
"Santa Oliva",NA,9188,134565,37693
"Santa Pau",NA,8492,68669,22613
"Santa Perpetua de Mogoda",NA,7432,104851,30648
"Santa Susanna",NA,9547,122031,39243
"Santpedor",NA,5614,73237,19413
"Sarral",NA,8991,124326,34392
"Sarria de Ter",NA,8624,97660,30313
"Sarroca de Bellera",NA,9421,122519,34360
"Sarroca de Lleida",NA,10221,153933,42839
"Saus, Camallera i Llampaies",NA,9744,99854,31713
"Savalla del Comtat",NA,8733,115422,32210
"Secuita",NA,9910,145094,39744
"Selva de Mar",NA,11897.875,118607,35682
"Selva del Camp",NA,10708,151250,41371
"Senan",NA,NA,NA,NA
"Senia",NA,NA,NA,NA
"Senterada",NA,8979,117668,33395
"Sentiu de Sio",NA,8674,122909,35175
"Sentmenat",NA,8001,98745.5,28089
"Serinya",NA,9092,83006,26313
"Seros",NA,NA,NA,NA
"Serra de Daro",NA,10251,111961,34306
"Setcases",NA,8157,62737,18179
"Seu d'Urgell",NA,4116,58399,14311
"Seva",NA,NA,NA,NA
"Sidamon",NA,8806,129373,35805
"Sils",NA,NA,NA,NA
"Sitges",NA,8921,133388,38095
"Siurana",NA,12829,158310,45842
"Sobremunt",NA,6432,53544,18613
"Soleras",NA,43399.625,841347,NA
"Solivella",NA,9066,128467,36125
"Solsona",NA,6659,71285,19021
"Sora",NA,NA,NA,NA
"Soriguera",NA,6721,88890,23925
"Sort",NA,NA,NA,NA
"Soses",NA,10184,154614,42757
"Subirats",NA,8103,116450,31913
"Sudanell",NA,9832,149453,41581
"Sunyer",NA,10005,149381,41515
"Suria",NA,5890,70959,18775
"Susqueda",NA,9425,92800,30455
"Tagamanent",NA,7777,90141,29283
"Talamanca",NA,NA,NA,NA
"Talarn",NA,9243,118713,33213
"Talavera",NA,NA,NA,NA
"Tallada d'Emporda",NA,10195,108685,34216
"Taradell",NA,6547,73230,23218
"Tarragona",NA,9920,153818,42688
"Tarrega",NA,7863,110764,30918
"Tarres",NA,10042,136333,38093
"Tarroja de Segarra",NA,7399,99126,27496
"Tavernoles",NA,6429,71067,23429
"Tavertet",NA,8311,81943,27608
"Teia",NA,NA,NA,NA
"Termens",NA,9451.375,131708,36362
"Terrades",NA,10441,98674,30305
"Terrassa",NA,6737,101679,26787
"Tiana",NA,NA,NA,NA
"Tirvia",NA,8439,92427,28953
"Tiurana",NA,7175,95270,26491
"Tivenys",NA,13738,211394,61361
"Tivissa",NA,11889,186343,52278
"Tona",NA,NA,NA,NA
"Tora",NA,NA,NA,NA
"Tordera",NA,9282,115308,37640
"Torello",NA,6786.125,63596,21749
"Torms",NA,NA,NA,NA
"Tornabous",NA,8258,113420,31638
"Torre de Cabdella",NA,9926,124858,35259
"Torre de Claramunt",NA,7620,104992,27793
"Torre de Fontaubella",NA,11776,176540,47715
"Torre de l'Espanyol",NA,12279,178568,51756
"Torrebesses",NA,10308,152914,43117
"Torredembarra",NA,9455,147004,40919
"Torrefarrera",NA,9499,143976,39543
"Torrefeta i Florejacs",NA,7897,98542,27596
"Torregrossa",NA,NA,NA,NA
"Torrelameu",NA,9584,136156,37561
"Torrelavit",NA,7701,111693,31584
"Torrelles de Foix",NA,8796,123611,33825
"Torrelles de Llobregat",NA,8198,120738,31517
"Torrent",NA,NA,NA,NA
"Torres de Segre",NA,10238,153337,42446
"Torre-serona",NA,9352,142424,39124
"Torroella de Fluvia",NA,10120.5,104154,32018
"Torroella de Montgri",NA,10603,113110,35369
"Torroja del Priorat",NA,12153,170052,49247
"Tortella",NA,8558,73522,23532
"Tortosa",NA,12938,211375,59087
"Toses",NA,4077,32176,13672
"Tossa de Mar",NA,9793,123008,40872
"Tremp",NA,9379,117194,32799
"Ulla",NA,NA,NA,NA
"Ullastrell",NA,7065,107218,27876
"Ullastret",NA,10438,112621,34388
"Ulldecona",NA,13539,224494,60690
"Ulldemolins",NA,11564,154379,43552
"Ultramort",NA,10188,109429,33902
"Urus",NA,NA,NA,NA
"Vacarisses",NA,6246,95159,24531
"Vajol",NA,11173.5,108563,34032
"Vall d'en Bas",NA,7539,67098,22399
"Vall de Bianya",NA,7547,64041,19346
"Vall de Boi",NA,12320,158354,43417
"Vall de Cardos",NA,8517,98204,30843
"Vallbona d'Anoia",NA,7057,103021,28227
"Vallbona de les Monges",NA,9045,123302,34874
"Vallcebre",NA,4152,46284,7446
"Vallclara",NA,10332,142107,39793
"Vallfogona de Balaguer",NA,9155.25,128212,36378
"Vallfogona de Ripolles",NA,7481,49072,15673
"Vallfogona de Riucorb",NA,9035,117589,33646
"Vallgorguina",NA,8620,108555,35193
"Vallirana",NA,7874,120940,31438
"Vall-llobrega",NA,10084,122201,42087
"Vallmoll",NA,9982,142893,38829
"Vallromanes",NA,8045,110601,32681
"Valls",NA,9782,139935,38032
"Valls d'Aguilar",NA,6772,82653,20291
"Valls de Valira",NA,4270,61698,15036
"Vandellos i l'Hospitalet de l'Infant",NA,11062,174873,48580
"Vansa i Fornols",NA,6559,74346,16831
"Veciana",NA,7418,98427,28308
"Vendrell",NA,9112,136159,38364
"Ventallo",NA,9918,104252,32189
"Verdu",NA,NA,NA,NA
"Verges",NA,NA,NA,NA
"Vespella de Gaia",NA,9804,145349,40180
"Vic",NA,NA,NA,NA
"Vidra",NA,NA,NA,NA
"Vidreres",NA,8469,107515,34833
"Vielha e Mijaran",NA,12394,173634,46151
"Vilabella",NA,NA,NA,NA
"Vilabertran",NA,10237,99531,30529
"Vilablareix",NA,8602,100218,33172
"Vilada",NA,4388,32615,10737
"Viladamat",NA,10098,107626,33156
"Viladasens",NA,9531,99842,31701
"Viladecans",NA,8271,124522,32466
"Viladecavalls",NA,6516,101329,26394
"Vilademuls",NA,9487,94986,30199
"Viladrau",NA,7475,81975,25737
"Vilafant",NA,9567,95515,29376
"Vilafranca del Penedes",NA,8281,119915,33194
"Vilagrassa",NA,7976,112413,31337
"Vilajuiga",NA,10689.875,107063,32395
"Vilalba dels Arcs",NA,13695.75,192209,55939
"Vilalba Sasserra",NA,9191,108876,33736
"Vilaller",NA,11482,151112,41596
"Vilallonga de Ter",NA,7785,58851,17426
"Vilallonga del Camp",NA,10275,148768,40533
"Vilamacolum",NA,10229.125,104111,31638
"Vilamalla",NA,9978.875,98177,30124
"Vilamaniscle",NA,10999.875,109513,32945
"Vilamos",NA,13519,180692,48453
"Vilanant",NA,9650,93711,28980
"Vilanova d'Escornalbou",NA,11071,167273,45820
"Vilanova de Bellpuig",NA,8512,122198,34033
"Vilanova de l'Aguda",NA,7749.5,95401,27247
"Vilanova de la Barca",NA,9416,134751,37228
"Vilanova de Meia",NA,8748,118624,33604
"Vilanova de Prades",NA,10648,145728,40540
"Vilanova de Sau",NA,7243,78921,25088
"Vilanova de Segria",NA,9740,142332,39439
"Vilanova del Cami",NA,7065,100479,26596
"Vilanova del Valles",NA,7997,108153,32524
"Vilanova i la Geltru",NA,8875,133948,39931
"Vilaplana",NA,10867,157002,42873
"Vila-rodona",NA,9385,134245,36627
"Vila-sacra",NA,10248.875,100972,31073
"Vila-sana",NA,8599,122296,33965
"Vila-seca",NA,10089,160084,43854
"Vilassar de Dalt",NA,8141,115774,35869
"Vilassar de Mar",NA,8420,117762,36078
"Vilaur",NA,9622,98394,31220
"Vilaverd",NA,9873,137311,38126
"Vilella Alta",NA,12801,172332,50881
"Vilella Baixa",NA,12587,174012,51691
"Vilobi d'Onyar",NA,8244,99966,33257
"Vilobi del Penedes",NA,8161,121133,32987
"Vilopriu",NA,9885,103034,32493
"Vilosell",NA,10291,141709,39107
"Vimbodi i Poblet",NA,9898,138009,38008
"Vinaixa",NA,10108,135735,38218
"Vinebre",NA,12089,179605,51163
"Vinyols i els Arcs",NA,10512,160861,44277
"Viver i Serrateix",NA,5328,58577,15352
"Xerta",NA,NA,NA,NA
