"","transit","driving","walking","bicycling"
"Sant Hipolit de Voltrega",NA,6417,62484,22521
"Sant Iscle de Vallalta",NA,9195,114994,38087
"Sant Jaume d'Enveja",NA,12876,209798,58162
"Sant Jaume de Frontanya",NA,4621,28417,10336
"Sant Jaume de Llierca",NA,8442,72304,23621
"Sant Jaume dels Domenys",NA,8972,131384,37112
"Sant Joan de les Abadesses",NA,6521,46244,15324
"Sant Joan de Mollet",NA,9560,103624,32378
"Sant Joan de Vilatorrada",NA,5643,79364,21821
"Sant Joan Despi",NA,7924,120809,32020
"Sant Joan les Fonts",NA,7832,65014,21286
"Sant Jordi Desvalls",NA,9650,102046,32218
"Sant Julia de Cerdanyola",NA,3903,18300,7421
"Sant Julia de Ramis",NA,9340,98477,31124
"Sant Julia de Vilatorta",NA,6412,72881,23733
"Sant Julia del Llor i Bonmati",NA,8684,90056,30880
"Sant Just Desvern",NA,7850.125,120748,31827
"Sant Llorenc d'Hortons",NA,7734,109417,29936
"Sant Llorenc de la Muga",NA,10607,102174,32164
"Sant Llorenc de Morunys",NA,6404,62436,17337
"Sant Llorenc Savall",NA,7648,91996,24676
"Sant Marti d'Albars",NA,5230,52726,17388
"Sant Marti de Centelles",NA,7029,85158,27798
"Sant Marti de Llemena",NA,9212,88705,30258
"Sant Marti de Riucorb",NA,8546,120608,34166
"Sant Marti de Tous",NA,7675,109465,29253
"Sant Marti Sarroca",NA,8276,123127,34315
"Sant Marti Sesgueioles",NA,6877,93682,27153
"Sant Marti Vell",NA,9625,102971,32559
"Sant Mateu de Bages",NA,7222,79686,22486
"Sant Miquel de Campmajor",NA,9550,80730,27197
"Sant Miquel de Fluvia",NA,10022,101495,31829
"Sant Mori",NA,9852,101945,32239
"Sant Pau de Seguries",NA,7037,51995,16592
"Sant Pere de Ribes",NA,8614,132397,39366
"Sant Pere de Riudebitlles",NA,7369,112082,31216
"Sant Pere de Torello",NA,6833,66622,22985
"Sant Pere de Vilamajor",NA,9405.25,103517,34165
"Sant Pere Pescador",NA,10381.625,107013,32808
"Sant Pere Sallavinera",NA,6710,85788,24932
"Sant Pol de Mar",NA,8797,119743,39526
"Sant Quinti de Mediona",NA,7695,113758,31155
"Sant Quirze de Besora",NA,6670,55692,20143
"Sant Quirze del Valles",NA,6818,106352,29330
"Sant Quirze Safaja",NA,7529,87519.25,25696
"Sant Ramon",NA,6970,96043,26954
"Sant Sadurni d'Anoia",NA,7927,111062,31284
"Sant Sadurni d'Osormort",NA,7198.625,79640,26073
"Sant Salvador de Guardiola",NA,6002,84984,22867
"Sant Vicenc de Castellet",NA,6107,84613,23058
"Sant Vicenc de Montalt",NA,8767,121373,39400.25
"Sant Vicenc de Torello",NA,7122,64929,22415
"Sant Vicenc dels Horts",NA,7746,117881.875,30995
"Santa Barbara",NA,NA,NA,NA
"Santa Cecilia de Voltrega",NA,6317,62720,22678
"Santa Coloma de Cervello",NA,7923,119334,31546
"Santa Coloma de Farners",NA,7930,98512,33095
"Santa Coloma de Gramenet",NA,7548.75,114244,32988
"Santa Coloma de Queralt",NA,8106,112756,31368
"Santa Cristina d'Aro",NA,9441,119707,39112
"Santa Eugenia de Berga",NA,6715,71801,23568
"Santa Eulalia de Riuprimer",NA,6634,68384,21771
"Santa Eulalia de Roncana",NA,7880,99609,30062
"Santa Fe del Penedes",NA,7837,117750,33188
"Santa Llogaia d'Alguema",NA,9791.875,97390,30453
"Santa Margarida de Montbui",NA,6884,103006,27885
"Santa Margarida i els Monjos",NA,8326,125194,35554
"Santa Maria d'Olo",NA,5971,71656,20898
"Santa Maria de Besora",NA,7100,55598,18395
"Santa Maria de Martorelles",NA,7964,109724,32443
"Santa Maria de Merles",NA,4984,54466,15421
"Santa Maria de Miralles",NA,7718,111720,30175
"Santa Maria de Palautordera",NA,8801,102125,33994
"Santa Oliva",NA,9189,135308.875,38375.75
"Santa Pau",NA,8492,69545,23351
"Santa Perpetua de Mogoda",NA,7432,105726,31386
"Santa Susanna",NA,9548,122907,39981
"Santpedor",NA,5615,74112,20151
"Sarral",NA,8992,125202,35130
"Sarria de Ter",NA,8624,98535,31051
"Sarroca de Bellera",NA,9421,120284,32902
"Sarroca de Lleida",NA,10221,154809,43577
"Saus, Camallera i Llampaies",NA,9744,100729,32452
"Savalla del Comtat",NA,8734,116297,32948
"Secuita",NA,9911,145969,40482
"Selva de Mar",NA,11898.875,119482,36420
"Selva del Camp",NA,10709,152125,42109
"Senan",NA,NA,NA,NA
"Senia",NA,NA,NA,NA
"Senterada",NA,8980,115434,31937
"Sentiu de Sio",NA,8675,123784,33595
"Sentmenat",NA,8002,99642.125,28828.75
"Serinya",NA,9093,83882,27051
"Seros",NA,NA,NA,NA
"Serra de Daro",NA,10252,112837,35044
"Setcases",NA,8158,63612,18917
"Seu d'Urgell",NA,4116,56165,12852
"Seva",NA,NA,NA,NA
"Sidamon",NA,8807,130249,36543
"Sils",NA,NA,NA,NA
"Sitges",NA,8922,134263,38833
"Siurana",NA,12830,159185,46580
"Sobremunt",NA,6432,54419,19352
"Soleras",NA,43400.625,NA,258059
"Solivella",NA,9067,129342,36863
"Solsona",NA,6660,72161,19743
"Sora",NA,NA,NA,NA
"Soriguera",NA,6721,86656,22467
"Sort",NA,NA,NA,NA
"Soses",NA,10185,155490,43495
"Subirats",NA,8104,117326,32652
"Sudanell",NA,9833,150328,42319
"Sunyer",NA,10006,150256,42254
"Suria",NA,5890,71834,NA
"Susqueda",NA,9426,93675,31194
"Tagamanent",NA,7778,91016,30021
"Talamanca",NA,NA,NA,NA
"Talarn",NA,9243,116479,31755
"Talavera",NA,NA,NA,NA
"Tallada d'Emporda",NA,10195,109560,34954
"Taradell",NA,6548,74106,23956
"Tarragona",NA,9921,154694,43426
"Tarrega",NA,7864,111640,31657
"Tarres",NA,10043,137209,38831
"Tarroja de Segarra",NA,7400,100002,28235
"Tavernoles",NA,6429,71943,24167
"Tavertet",NA,8312,82819,28346
"Teia",NA,NA,NA,NA
"Termens",NA,9452.25,132584,37100
"Terrades",NA,10441,99549,31043
"Terrassa",NA,6738,102554,27525
"Tiana",NA,NA,NA,NA
"Tirvia",NA,8439,90193,27495
"Tiurana",NA,7176,96146,24852
"Tivenys",NA,13739,212269,62099
"Tivissa",NA,11889,187219,53016
"Tona",NA,NA,NA,NA
"Tora",NA,NA,NA,NA
"Tordera",NA,9283,116183,38379
"Torello",NA,6786.5,64472,22488
"Torms",NA,NA,NA,NA
"Tornabous",NA,8259,114296,32376
"Torre de Cabdella",NA,9927,122624,33801
"Torre de Claramunt",NA,7620,105867,28531
"Torre de Fontaubella",NA,11777,177416,48453
"Torre de l'Espanyol",NA,12280,179443,52495
"Torrebesses",NA,10309,153790,43855
"Torredembarra",NA,9456,147879,41657
"Torrefarrera",NA,9499,144851,39537
"Torrefeta i Florejacs",NA,7898,99418,28334
"Torregrossa",NA,NA,NA,NA
"Torrelameu",NA,9584,137031,37418
"Torrelavit",NA,7702,112568,32323
"Torrelles de Foix",NA,8797,124487,34563
"Torrelles de Llobregat",NA,8198,121613,32255
"Torrent",NA,NA,NA,NA
"Torres de Segre",NA,10239,154213,43184
"Torre-serona",NA,9352,143299,39119
"Torroella de Fluvia",NA,10120.625,105029,32756
"Torroella de Montgri",NA,10604,113985,36107
"Torroja del Priorat",NA,12154,170927,49985
"Tortella",NA,8558,74398,24270
"Tortosa",NA,12939,212250,59825
"Toses",NA,4077,29941,12154
"Tossa de Mar",NA,9794,123883,41611
"Tremp",NA,9379.75,114960,31341
"Ulla",NA,NA,NA,NA
"Ullastrell",NA,7065,108094,28614
"Ullastret",NA,10439,113497,35126
"Ulldecona",NA,13540,225369,61428
"Ulldemolins",NA,11565,155255,44290
"Ultramort",NA,10189,110304,34640
"Urus",NA,NA,NA,NA
"Vacarisses",NA,6247,96035,25269
"Vajol",NA,11173.5,109439,34770
"Vall d'en Bas",NA,7540,67973,23138
"Vall de Bianya",NA,7547,64917,20085
"Vall de Boi",NA,12321,156120,41958
"Vall de Cardos",NA,8518,95969,29385
"Vallbona d'Anoia",NA,7057,103896,28965
"Vallbona de les Monges",NA,9045,124177,35612
"Vallcebre",NA,4153,47160,8184
"Vallclara",NA,10333,142982,40531
"Vallfogona de Balaguer",NA,9156.125,129087,35205
"Vallfogona de Ripolles",NA,7482,49948,16411
"Vallfogona de Riucorb",NA,9036,118465,34384
"Vallgorguina",NA,8621,109431,35931
"Vallirana",NA,7868.25,121523.125,32177
"Vall-llobrega",NA,10084,123076,42825
"Vallmoll",NA,9982,143768,39567
"Vallromanes",NA,8046,111477,33419
"Valls",NA,9782,140810,38770
"Valls d'Aguilar",NA,6773,80418,18832
"Valls de Valira",NA,4270,59464,13578
"Vandellos i l'Hospitalet de l'Infant",NA,11062,175748,49318
"Vansa i Fornols",NA,6560,74480,17570
"Veciana",NA,7418,99303,29046
"Vendrell",NA,9113,137035,39102
"Ventallo",NA,9919,105128,32927
"Verdu",NA,NA,NA,NA
"Verges",NA,NA,NA,NA
"Vespella de Gaia",NA,9804,146225,40918
"Vic",NA,NA,NA,NA
"Vidra",NA,NA,NA,NA
"Vidreres",NA,8470,108390,35571
"Vielha e Mijaran",NA,12395,171400,44692
"Vilabella",NA,NA,NA,NA
"Vilabertran",NA,10237.875,100406,31267
"Vilablareix",NA,8603,101093,33910
"Vilada",NA,4389,33491,11475
"Viladamat",NA,10098,108502,33894
"Viladasens",NA,9532,100718,32439
"Viladecans",NA,8272,125397,33204
"Viladecavalls",NA,6517,102204,27124.5
"Vilademuls",NA,9488,95862,30937
"Viladrau",NA,7475,82850,26475
"Vilafant",NA,9568,96391,30115
"Vilafranca del Penedes",NA,8282,120791,33933
"Vilagrassa",NA,7976,113289,32075
"Vilajuiga",NA,10690,107938,33133
"Vilalba dels Arcs",NA,13696.75,193084,56677
"Vilalba Sasserra",NA,9191,109752,34474
"Vilaller",NA,11482,148877,40137
"Vilallonga de Ter",NA,7786,59726,18165
"Vilallonga del Camp",NA,10276,149643,41271
"Vilamacolum",NA,10230,104986,32376
"Vilamalla",NA,9979,99053,30880
"Vilamaniscle",NA,11000,110389,33683
"Vilamos",NA,13519,178458,46994
"Vilanant",NA,9650,94587,29718
"Vilanova d'Escornalbou",NA,11072,168149,46558
"Vilanova de Bellpuig",NA,8513,123073,34771
"Vilanova de l'Aguda",NA,7750.5,96277,26159
"Vilanova de la Barca",NA,9417,135627,37967
"Vilanova de Meia",NA,8749,119499,31965
"Vilanova de Prades",NA,10648,146603,41278
"Vilanova de Sau",NA,7243,79797,25826
"Vilanova de Segria",NA,9740,143207,38908
"Vilanova del Cami",NA,7066,101355,27334
"Vilanova del Valles",NA,7998,109028,33262
"Vilanova i la Geltru",NA,8876,134824,40669
"Vilaplana",NA,10868,157878,43611
"Vila-rodona",NA,9386,135121,37365
"Vila-sacra",NA,10249.875,101847,31811
"Vila-sana",NA,8599,123172,34703
"Vila-seca",NA,10090,160959,44592
"Vilassar de Dalt",NA,8142,116649,36607
"Vilassar de Mar",NA,8420,118637,36816
"Vilaur",NA,9623,99269,31958
"Vilaverd",NA,9873,138187,38864
"Vilella Alta",NA,12802,173208,51620
"Vilella Baixa",NA,12587,174888,52429
"Vilobi d'Onyar",NA,8244,100841,33995
"Vilobi del Penedes",NA,8162,122008,33725
"Vilopriu",NA,9886,103910,33232
"Vilosell",NA,10291,142585,39846
"Vimbodi i Poblet",NA,9898,138885,38747
"Vinaixa",NA,10108,136611,38956
"Vinebre",NA,12090,180481,51902
"Vinyols i els Arcs",NA,10513,161736,45015
"Viver i Serrateix",NA,5328,59453,16091
"Xerta",NA,NA,NA,NA
