"","transit","driving","walking","bicycling"
"Cistella",NA,9919,95483,29524
"Ciutadilla",NA,8270,117901,32617
"Clariana de Cardener",NA,5955,66658,18076
"Cogul",NA,10180,144276,40537
"Colera",NA,11594.875,117373,35414
"Coll de Nargo",NA,5350,77388,19103
"Collbato",NA,6816,97004,25266
"Colldejou",NA,11645,172992,47251
"Collsuspina",NA,6817,75260,22252
"Colomers",NA,9626,103235,32106
"Coma i la Pedra",NA,6606,65003,17850
"Conca de Dalt",NA,9008,105444,29529
"Conesa",NA,NA,NA,NA
"Constanti",NA,9735,152267,41623
"Copons",NA,7157,96283,27924
"Corbera d'Ebre",NA,12710.875,189282,53507
"Corbera de Llobregat",NA,7904,114880,30162.125
"Corbins",NA,NA,NA,NA
"Corca",NA,NA,NA,NA
"Cornella de Llobregat",NA,7685.125,120502,31440
"Cornella del Terri",NA,8864,89379,28375
"Cornudella de Montsant",NA,11821,158343,46160
"Creixell",NA,9214,143798,40059
"Crespia",NA,9076,86119,27128
"Cruilles, Monells i Sant Sadurni de l'Heura",NA,10098,108551,33538
"Cubelles",NA,8606,135677,40822
"Cubells",NA,7934,114906,31916
"Cunit",NA,8703,136454,38874
"Darnius",NA,10672.375,106177,32728
"Das",NA,NA,NA,NA
"Deltebre",NA,12347,206328,56628
"Dosrius",NA,8413,111698,33969
"Duesaigues",NA,11301,168208,45919
"Escala",NA,NA,NA,NA
"Esparreguera",NA,6816,100186,25747
"Espinelves",NA,6651,81481,26102
"Espluga Calba",NA,9233,128518,36201
"Espluga de Francoli",NA,9539,134211,37326
"Esplugues de Llobregat",NA,7781,120536,31274
"Espolla",NA,10612.375,107879,32602
"Esponella",NA,9308,84875,27158
"Espot",NA,NA,NA,NA
"Espunyola",NA,4296,46719,11211
"Esquirol",NA,9819,140102.75,43149.5
"Estamariu",NA,4129,49107,13267
"Estany",NA,6310,70643,21311
"Estaras",NA,7146,97544,27461
"Esterri d'Aneu",NA,8758,137138,33096
"Esterri de Cardos",NA,8945,101926,31187
"Falset",NA,11343,174938,47882
"Far d'Emporda",NA,9833.875,98869,30483
"Farrera",NA,8711,86990,25590
"Fatarella",NA,12831,184360,53356
"Febro",NA,NA,NA,NA
"Figaro-Montmany",NA,7117,92386,30168
"Figols",NA,4515.125,45260,8936
"Figols i Alinya",NA,6714,81545,20342
"Figuera",NA,12860,175719,50551
"Figueres",NA,9512,96355,29631
"Figuerola del Camp",NA,9605.75,131770,36155
"Flaca",NA,NA,NA,NA
"Flix",NA,NA,NA,NA
"Floresta",NA,NA,NA,NA
"Fogars de la Selva",NA,8449,112841,36815
"Fogars de Montclus",NA,8718,99421,33109
"Foixa",NA,9723,105782,32901
"Folgueroles",NA,6226,70936,22768
"Fondarella",NA,8422,126044,34998
"Fonollosa",NA,5821,79687,21492
"Fontanals de Cerdanya",NA,2622,20238,8758
"Fontanilles",NA,10519,114625,35138
"Fontcoberta",NA,8973,85238,26824
"Font-rubi",NA,7353,116023,31564
"Foradada",NA,NA,NA,NA
"Forallac",NA,10368,114697,34891
"Fores",NA,NA,NA,NA
"Fornells de la Selva",NA,8406,102210,33581
"Fortia",NA,9968.875,101897,31104
"Franqueses del Valles",NA,7468,99920,30023
"Freginals",NA,12774.5,215332,58299
"Fuliola",NA,8602,115420,32323
"Fulleda",NA,9626,131391,36869
"Gaia",NA,NA,NA,NA
"Galera",NA,NA,NA,NA
"Gallifa",NA,8119,93279,25726
"Gandesa",NA,13037.875,192469,54214
"Garcia",NA,NA,NA,NA
"Garidells",NA,9796,146052,39851
"Garriga",NA,NA,NA,NA
"Garrigas",NA,9641.375,96539,29996
"Garrigoles",NA,9888,104900,32972
"Garriguella",NA,10494.875,106699,32233
"Gava",NA,NA,NA,NA
"Gavet de la Conca",NA,9253,113977,31673
"Gelida",NA,7299,111614,29021
"Ger",NA,NA,NA,NA
"Gimenells i el Pla de la Font",NA,10143,157939,43706
"Ginestar",NA,12181,193375,54857
"Girona",NA,8831,99548,33165
"Gironella",NA,4176,47662,11782
"Gisclareny",NA,3761,7297,3708
"Godall",NA,13394.25,220256,59823
"Golmes",NA,8241,122788,34142
"Gombren",NA,4833,28656,9796
"Gosol",NA,4506,56020,9896
"Granada",NA,36098.75,667655,180440
"Granadella",NA,23623,418826,112431
"Granera",NA,7289,86324,22551
"Granja d'Escarp",NA,10830,167270,46154
"Granollers",NA,7700.875,102549,30948
"Granyanella",NA,7754,107444,30270
"Granyena de les Garrigues",NA,10112,148217,41636
"Granyena de Segarra",NA,7800,107699,30544
"Gratallops",NA,11991,173523,50175
"Gualba",NA,9191.75,106826,36257
"Gualta",NA,10284,113129,34675
"Guardiola de Bergueda",NA,2715,11582,5340
"Guiamets",NA,11644,182152,49887
"Guils de Cerdanya",NA,3360,25214,10249
"Guimera",NA,8458,116186,33233
"Guingueta d'Aneu",NA,8422,134397,32448
"Guissona",NA,7427,94440,26479
"Guixers",NA,5926,57938,15750
"Gurb",NA,5856,65410,21689
"Horta de Sant Joan",NA,14407.25,207084,58334
"Hospitalet de Llobregat",NA,7963,121436,32349
"Hostalets de Pierola",NA,7373,99914,27885
"Hostalric",NA,8169,108864,36366
"Igualada",NA,6750,98891,26214.75
"Isona i Conca Della",NA,8481,103144,27959
"Isovol",NA,2371,17961,8158
"Ivars d'Urgell",NA,8298,117348,32661
"Ivars de Noguera",NA,9873.5,142608,40805
"Ivorra",NA,7026,89796,24825
"Jafre",NA,9687,104764,32455
"Jonquera",NA,10876,114672,34614
"Jorba",NA,NA,101233,27245
"Josa i Tuixen",NA,5424,63541,12902
"Juia",NA,9237,99908,31028
"Juncosa",NA,10956,NA,42271
"Juneda",NA,9082,132538,36722
"Les",NA,NA,NA,NA
"Linyola",NA,8630,122127,34042
"Llacuna",NA,7936,114342,30301
"Llado",NA,8964,88755,27618
"Lladorre",NA,8839,102428,31501
"Lladurs",NA,6750,73266,19495
"Llagosta",NA,7286,106498,31527
"Llagostera",NA,8717,112256,36856
"Llambilles",NA,8542,104812,34576
"Llanars",NA,7300,56137,16921
"Llanca",NA,10686.875,111384,33621
"Llardecans",NA,10679,157147,44283
"Llavorsi",NA,7723,96596,30264
"Lleida",NA,9530,142811,39665
"Llers",NA,9776,97445,29890
"Lles de Cerdanya",NA,3565,24138,9769
"Llica d'Amunt",NA,7842,99060.25,29524.375
"Llica de Vall",NA,7583.5,101859.5,30358
"Llimiana",NA,10351,120604,33412
"Llinars del Valles",NA,8155,106925,32398
"Llivia",NA,3135,27370,10400
"Lloar",NA,12265,176665,51483
"Llobera",NA,6743,75924,20144
"Llorac",NA,8376,112988,32787
"Llorenc del Penedes",NA,8793.5,131685,36794
"Lloret de Mar",NA,9007,117204,37632
"Llosses",NA,5888,38482,14263
"Lluca",NA,4923,48006,15578
"Macanet de Cabrenys",NA,11282,103605,34116
"Macanet de la Selva",NA,8353,106395,34834
"Madremanya",NA,9619,104646,32146
"Maia de Montcal",NA,8659,82382,25894
"Maials",NA,10613,161416,45065
"Malda",NA,NA,6937519,NA
"Malgrat de Mar",NA,9526.75,119994,38699
"Malla",NA,129361,2183062,NA
"Manlleu",NA,6203,65464,22797
"Manresa",NA,NA,NA,NA
"Marca",NA,NA,NA,NA
"Margalef",NA,12023.5,162322,46943
"Marganell",NA,6175,87729,23483
"Martorell",NA,6862,106236,27142
"Martorelles",NA,7403,106320,31372
"Mas de Barberans",NA,13527,222156,61258
"Masarac",NA,10257.375,104036,31642
"Masdenverge",NA,12762.25,213956,58192
"Masies de Roda",NA,6278,67567,23827
"Masies de Voltrega",NA,6163,61363,21853
"Masllorenc",NA,9277,137441,38507
"Masnou",NA,7902,115148,34723
"Maso",NA,NA,NA,NA
"Maspujols",NA,10298,156947,43334
"Masquefa",NA,7540,104940,27864
"Masroig",NA,11681,182508,50061
"Massalcoreig",NA,10603,164922,46156
"Massanes",NA,8421,109565,35676
"Massoteres",NA,7448,92941,26043
"Matadepera",NA,7910,94755,25532
"Mataro",NA,8279,117929,37083
"Mediona",NA,7408,109674,29343
"Menarguens",NA,9272.625,133128,36802
"Meranges",NA,3102,22948,9254
"Mieres",NA,33356,623544,174109
"Mila",NA,NA,NA,NA
"Miralcamp",NA,8683,127103,35336
"Miravet",NA,12456,194224,54949
"Moia",NA,NA,NA,NA
"Molar",NA,NA,NA,NA
"Molins de Rei",NA,7415,114528,29731
"Mollerussa",NA,8608,125066,34765
"Mollet de Peralada",NA,10466.375,105790,32153
"Mollet del Valles",NA,7294,104910,30836
"Mollo",NA,NA,NA,NA
"Molsosa",NA,7025,82444,23299
"Monistrol de Calders",NA,6243,80763,21103
"Monistrol de Montserrat",NA,5959.25,91297,23605
"Montagut i Oix",NA,8780,72784,23395
"Montblanc",NA,NA,NA,NA
"Montbrio del Camp",NA,10489,161814,44435
"Montcada i Reixac",NA,7068,108186,31022
"Montclar",NA,25162,405889,115146
"Montella i Martinet",NA,2892,19843,9059
"Montesquiu",NA,6341,53222,19222
"Montferrer i Castellbo",NA,5659,69124,16944
"Montferri",NA,9197,137702,37614
"Montgai",NA,8600,117162,33345
"Montgat",NA,7561,116306,34253
"Montmajor",NA,4762,52063,12916
"Montmaneu",NA,7336,101818,28775
"Montmell",NA,9253,128143,36138
"Montmelo",NA,7540,105528,31506
"Montoliu de Lleida",NA,9440,147402,41028
"Montoliu de Segarra",NA,8083,110758,31233
"Montornes de Segarra",NA,8358,111853,31876
"Montornes del Valles",NA,7629,106964,31818
"Mont-ral",NA,11148,149371,41488
"Mont-ras",NA,9891,120726,36631
"Mont-roig del Camp",NA,10652,166080,45606
"Montseny",NA,8221,88903,28425
"Mora d'Ebre",NA,12002,189422,53562
"Mora la Nova",NA,11926,187841,53187
"Morell",NA,NA,NA,NA
"Morera de Montsant",NA,12420,163588,47475
"Muntanyola",NA,6834,70300,21783
"Mura",NA,NA,NA,NA
"Nalec",NA,8269,118709,32750
"Naut Aran",NA,12427,160808,38895
"Navarcles",NA,5730,76403,20047
"Navas",NA,NA,NA,NA
"Navata",NA,9102,89261,27710
"Naves",NA,18627,318102,97985
"Nou de Bergueda",NA,3567,34205,7135
"Nou de Gaia",NA,9335,147234,40581
"Nulles",NA,9430,140343,38603
"Oden",NA,NA,NA,NA
"Odena",NA,7026,97676,25948
"Ogassa",NA,6527,47033,14880
"Olerdola",NA,8058,122023,34002
"Olesa de Bonesvalls",NA,8186,122473,33144
"Olesa de Montserrat",NA,6479,99128,25297
"Oliana",NA,5939,88164,22090
"Oliola",NA,7397,101003,28158
"Olius",NA,6180,68820,18440
"Olivella",NA,NA,NA,NA
"Olost",NA,5005,55851,17100
"Olot",NA,7907.625,61101,20467
"Oluges",NA,7084,98663,27503
"Olvan",NA,4066,47398,11988
"Omellons",NA,9153,130899,36504
"Omells de na Gaia",NA,9134,126143,35392
"Ordis",NA,NA,NA,NA
"Organya",NA,5071,73820,18107
"Oris",NA,NA,NA,NA
"Orista",NA,5756,61104,18397
"Orpi",NA,34233,644906,206419
"Orrius",NA,8258,110029,33508
"Os de Balaguer",NA,9383,133266,38500
"Osor",NA,62947,942292,NA
"Osso de Sio",NA,7750,104409,29283
