Codi,Literal,Homes,Dones,Total
081043,"Llacuna, la",491,426,917,
170887,Lladó,417,428,845,
251235,Lladorre,124,120,244,
251240,Lladurs,98,89,187,
081056,"Llagosta, la",6515,6744,13259,
170890,Llagostera,4456,4395,8851,
170904,Llambilles,371,359,730,
170911,Llanars,274,261,535,
170926,Llançà,2381,2461,4842,
251253,Llardecans,229,200,429,
251266,Llavorsí,176,169,345,
251207,Lleida,69390,70690,140080,
170932,Llers,626,626,1252,
251272,Lles de Cerdanya,164,124,288,
081075,Lliçà d'Amunt,7992,7681,15673,
081081,Lliçà de Vall,3361,3219,6580,
251288,Llimiana,90,65,155,
081069,Llinars del Vallès,5039,5077,10116,
170947,Llívia,790,714,1504,
430727,"Lloar, el",57,54,111,
251291,Llobera,108,79,187,
430733,Llorac,49,43,92,
430748,Llorenç del Penedès,1169,1212,2381,
170950,Lloret de Mar,19552,18850,38402,
170963,"Llosses, les",122,87,209,
081094,Lluçà,134,137,271,
171024,Maçanet de Cabrenys,367,362,729,
171030,Maçanet de la Selva,3796,3553,7349,
170979,Madremanya,140,156,296,
170985,Maià de Montcal,255,214,469,
251333,Maials,510,416,926,
251305,Maldà,120,117,237,
081108,Malgrat de Mar,9428,9522,18950,
081115,Malla,141,135,276,
081120,Manlleu,10491,10313,20804,
081136,Manresa,38330,39862,78192,
430764,Marçà,320,292,612,
430751,Margalef,61,43,104,
082423,Marganell,135,136,271,
081141,Martorell,14623,14044,28667,
081154,Martorelles,2434,2389,4823,
430770,Mas de Barberans,286,286,572,
171002,Masarac,149,135,284,
430786,Masdenverge,572,537,1109,
081167,"Masies de Roda, les",357,347,704,
081173,"Masies de Voltregà, les",1565,1613,3178,
430799,Masllorenç,276,232,508,
081189,"Masnou, el",11505,12343,23848,
430803,"Masó, la",148,135,283,
430810,Maspujols,420,406,826,
081192,Masquefa,4904,4719,9623,
430825,"Masroig, el",278,221,499,
251312,Massalcoreig,344,255,599,
171019,Massanes,427,376,803,
251327,Massoteres,124,99,223,
081206,Matadepera,4844,4828,9672,
081213,Mataró,64086,65034,129120,
081228,Mediona,1228,1191,2419,
251348,Menàrguens,428,361,789,
170998,Meranges,53,44,97,
171058,Mieres,178,171,349,
430831,"Milà, el",91,100,191,
251351,Miralcamp,713,653,1366,
430846,Miravet,364,321,685,
081385,Moià,3329,3145,6474,
430859,"Molar, el",157,141,298,
081234,Molins de Rei,12718,13386,26104,
251370,Mollerussa,7462,7083,14545,
171061,Mollet de Peralada,106,91,197,
