"","municipi","hab"
"522","Pallejà",11636
"523","Palma d'Ebre",334
"524","Palma de Cervelló",3015
"525","Palol de Revardit",446
"526","Pals",2516
"527","Papiol",4232
"528","Pardines",166
"529","Parets del Vallès",18907
"530","Parlavà",413
"531","Passanant i Belltall",167
"532","Pau",588
"533","Paüls",563
"534","Pedret i Marzà",187
"535","Penelles",443
"536","Pera",448
"537","Perafita",412
"538","Perafort",1275
"539","Peralada",1945
"540","Peramola",348
"541","Perelló",2846
"542","Piera",16411
"543","Piles",218
"544","Pineda de Mar",27974
"545","Pinell de Brai",998
"546","Pinell de Solsonès",188
"547","Pinós",290
"548","Pira",498
"549","Pla de Santa Maria",2340
"550","Pla del Penedès",1306
"551","Planes d'Hostoles",1711
"552","Planoles",311
"553","Plans de Sió",503
"554","Poal",667
"555","Pobla de Cérvoles",198
"556","Pobla de Claramunt",2207
"557","Pobla de Lillet",1063
"558","Pobla de Mafumet",4025
"559","Pobla de Massaluca",341
"560","Pobla de Montornès",2999
"561","Pobla de Segur",3050
"562","Poboleda",328
"563","Polinyà",8494
"564","Pont d'Armentera",493
"565","Pont de Bar",174
"566","Pont de Molins",518
"567","Pont de Suert",2331
"568","Pont de Vilomara i Rocafort",4016
"569","Pontils",138
"570","Pontons",523
"571","Pontós",264
"572","Ponts",2629
"573","Porqueres",4701
"574","Porrera",428
"575","Port de la Selva",1010
"576","Portbou",1095
"577","Portella",727
"578","Pradell de la Teixeta",164
"579","Prades",602
"580","Prat de Comte",186
"581","Prat de Llobregat",65532
"582","Pratdip",680
"583","Prats de Lluçanès",2634
"584","Prats de Rei",551
"585","Prats i Sansor",251
"586","Preixana",391
"587","Preixens",421
"588","Premià de Dalt",10419
"589","Premià de Mar",28523
"590","Preses",1875
"591","Prullans",246
"592","Puigcerdà",9518
"593","Puigdàlber",551
"594","Puiggròs",265
"595","Puigpelat",1196
"596","Puig-reig",4289
"597","Puigverd d'Agramunt",230
"598","Puigverd de Lleida",1384
"599","Pujalt",206
"600","Quar",51
"601","Quart",3856
"602","Queralbs",191
"603","Querol",544
"604","Rabós",206
"605","Rajadell",549
"606","Rasquera",14931
"607","Regencós",846
"608","Rellinars",282
"609","Renau",868
"610","Reus",155
"611","Rialp",106084
"612","Riba",658
"613","Riba-roja d'Ebre",575
"614","Ribera d'Ondara",1117
"615","Ribera d'Urgellet",431
"616","Ribes de Freser",947
"617","Riells i Viabrea",1787
"618","Riera de Gaià",4268
"619","Riner",1737
"620","Ripoll",281
"621","Ripollet",10721
"622","Riu de Cerdanya",39139
"623","Riudarenes",93
"624","Riudaura",2283
"625","Riudecanyes",511
"626","Riudecols",1194
"627","Riudellots de la Selva",1225
"628","Riudoms",2076
"629","Riumors",6617
"630","Roca del Vallès",244
"631","Rocafort de Queralt",10676
"632","Roda de Berà",230
"633","Roda de Ter",7127
"634","Rodonyà",6449
"635","Roquetes",507
"636","Roses",8159
"637","Rosselló",19921
"638","Rourell",3186
"639","Rubí",402
"640","Rubió",78549
"641","Rupià",236
"642","Rupit i Pruit",296
"643","Sabadell",296
"644","Sagàs",216204
"645","Salàs de Pallars",151
"646","Saldes",343
"647","Sales de Llierca",283
"648","Sallent",164
"649","Salomó",6717
"650","Salou",544
"651","Salt",28512
"652","Sanaüja",32230
"653","Sant Adrià de Besòs",396
"654","Sant Agustí de Lluçanès",37283
"655","Sant Andreu de la Barca",92
"656","Sant Andreu de Llavaneres",27175
"657","Sant Andreu Salou",11150
"658","Sant Aniol de Finestres",156
"659","Sant Antoni de Vilamajor",353
"660","Sant Bartomeu del Grau",6383
"661","Sant Boi de Llobregat",913
"662","Sant Boi de Lluçanès",83755
"663","Sant Carles de la Ràpita",573
"664","Sant Cebrià de Vallalta",3570
"665","Sant Celoni",18176
"666","Sant Climent de Llobregat",4193
"667","Sant Climent Sescebes",712
"668","Sant Cugat del Vallès",94012
"669","Sant Cugat Sesgarrigues",1004
"670","Sant Esteve de la Sarga",122
"671","Sant Esteve de Palautordera",2997
"672","Sant Esteve Sesrovires",7771
"673","Sant Feliu de Buixalleu",808
"674","Sant Feliu de Codines",6406
"675","Sant Feliu de Guíxols",22210
"676","Sant Feliu de Llobregat",45463
"677","Sant Feliu de Pallerols",1456
"678","Sant Feliu Sasserra",617
"679","Sant Ferriol",247
"680","Sant Fost de Campsentelles",8997
"681","Sant Fruitós de Bages",8936
"682","Sant Gregori",4012
"683","Sant Guim de Freixenet",1059
"684","Sant Guim de la Plana",184
"685","Sant Hilari Sacalm",5758
"686","Sant Hipòlit de Voltregà",3547
"687","Sant Iscle de Vallalta",1438
"688","Sant Jaume d'Enveja",3552
"689","Sant Jaume de Frontanyà",28
"690","Sant Jaume de Llierca",852
"691","Sant Jaume dels Domenys",2666
"692","Sant Joan de les Abadesses",3250
"693","Sant Joan de Mollet",501
"694","Sant Joan de Vilatorrada",10871
"695","Sant Joan Despí",34130
"696","Sant Joan les Fonts",3050
"697","Sant Jordi Desvalls",796
"698","Sant Julià de Cerdanyola",235
"699","Sant Julià de Ramis",3612
"700","Sant Julià de Vilatorta",3152
"701","Sant Julià del Llor i Bonmatí",1314
"702","Sant Just Desvern",19379
"703","Sant Llorenç d'Hortons",2459
"704","Sant Llorenç de la Muga",267
"705","Sant Llorenç de Morunys",985
"706","Sant Llorenç Savall",2514
"707","Sant Martí d'Albars",107
"708","Sant Martí de Centelles",1186
"709","Sant Martí de Llémena",663
"710","Sant Martí de Riucorb",649
"711","Sant Martí de Tous",1236
"712","Sant Martí Sarroca",3286
"713","Sant Martí Sesgueioles",344
"714","Sant Martí Vell",244
"715","Sant Mateu de Bages",614
"716","Sant Miquel de Campmajor",243
"717","Sant Miquel de Fluvià",755
"718","Sant Mori",157
"719","Sant Pau de Segúries",725
"720","Sant Pere de Ribes",31525
"721","Sant Pere de Riudebitlles",2411
"722","Sant Pere de Torelló",2488
"723","Sant Pere de Vilamajor",4671
"724","Sant Pere Pescador",2083
"725","Sant Pere Sallavinera",159
"726","Sant Pol de Mar",5538
"727","Sant Quintí de Mediona",2367
"728","Sant Quirze de Besora",2145
"729","Sant Quirze del Vallès",20156
"730","Sant Quirze Safaja",660
"731","Sant Ramon",497
"732","Sant Sadurní d'Anoia",12840
"733","Sant Sadurní d'Osormort",76
"734","Sant Salvador de Guardiola",3243
"735","Sant Vicenç de Castellet",9868
"736","Sant Vicenç de Montalt",6523
"737","Sant Vicenç de Torelló",2077
"738","Sant Vicenç dels Horts",28115
"739","Santa Bàrbara",3762
"740","Santa Cecília de Voltregà",179
"741","Santa Coloma de Cervelló",8273
"742","Santa Coloma de Farners",13459
"743","Santa Coloma de Gramenet",119289
"744","Santa Coloma de Queralt",2702
"745","Santa Cristina d'Aro",5408
"746","Santa Eugènia de Berga",2259
"747","Santa Eulàlia de Riuprimer",1409
"748","Santa Eulàlia de Ronçana",7538
"749","Santa Fe del Penedès",378
"750","Santa Llogaia d'Àlguema",378
"751","Santa Margarida de Montbui",10192
"752","Santa Margarida i els Monjos",7664
"753","Santa Maria d'Oló",1065
"754","Santa Maria de Besora",161
"755","Santa Maria de Martorelles",882
"756","Santa Maria de Merlès",180
"757","Santa Maria de Miralles",129
"758","Santa Maria de Palautordera",9666
"759","Santa Oliva",3450
"760","Santa Pau",1585
"761","Santa Perpètua de Mogoda",26033
"762","Santa Susanna",3650
"763","Santpedor",7566
"764","Sarral",1549
